Cytokine_X,CytokineY,SpearmanRho,p
"MCP1 (L, exp2, pg/mL)",IL2,-0.08,0.139542217924205
"MCP1 (L, exp2, pg/mL)",IL4,-0.098,0.0823491945014018
IL2,IL4,0.809,0
"MCP1 (L, exp2, pg/mL)",IL5,-0.023,0.67471737587727
IL2,IL5,0.762,0
IL4,IL5,0.762,0
"MCP1 (L, exp2, pg/mL)",IL6,0.06,0.259205318113772
IL2,IL6,0.554,0
IL4,IL6,0.519,0
IL5,IL6,0.668,0
"MCP1 (L, exp2, pg/mL)",IL8,0.248,3.42524337163888e-06
IL2,IL8,-0.149,0.00427421601545094
IL4,IL8,-0.065,0.224830532567872
IL5,IL8,-0.081,0.122997373845979
IL6,IL8,0.18,0.000305569494386024
"MCP1 (L, exp2, pg/mL)",IL9,0.113,0.0274561961688419
IL2,IL9,0.105,0.0475673898488557
IL4,IL9,0.053,0.332843247601459
IL5,IL9,0.096,0.071894213386198
IL6,IL9,0.059,0.252390790082814
IL8,IL9,0.101,0.0539849098922085
"MCP1 (L, exp2, pg/mL)",IL10,-0.048,0.409496625448273
IL2,IL10,0.872,0
IL4,IL10,0.823,0
IL5,IL10,0.713,0
IL6,IL10,0.605,0
IL8,IL10,-0.133,0.0156291162187848
IL9,IL10,0.089,0.117426596791363
"MCP1 (L, exp2, pg/mL)",IL12,-0.072,0.204215079424884
IL2,IL12,0.862,0
IL4,IL12,0.816,0
IL5,IL12,0.724,0
IL6,IL12,0.58,0
IL8,IL12,-0.121,0.0240041266043478
IL9,IL12,0.086,0.117892498494816
IL10,IL12,0.938,0
"MCP1 (L, exp2, pg/mL)",IL13 (L),0.084,0.0802715024072803
IL2,IL13 (L),0.027,0.587790340427794
IL4,IL13 (L),-0.055,0.283108508865732
IL5,IL13 (L),-0.023,0.643386438539632
IL6,IL13 (L),-0.007,0.876848014723964
IL8,IL13 (L),0.139,0.0045465624532049
IL9,IL13 (L),0.824,0
IL10,IL13 (L),-0.087,0.0975571840676214
IL12,IL13 (L),-0.087,0.0879423751857652
"MCP1 (L, exp2, pg/mL)",IL21 (L),0.071,0.137950750566305
IL2,IL21 (L),0.047,0.337385800716546
IL4,IL21 (L),-0.032,0.529416493102331
IL5,IL21 (L),-0.015,0.758295823377091
IL6,IL21 (L),-0.02,0.685740285702253
IL8,IL21 (L),0.144,0.00327830807895215
IL9,IL21 (L),0.833,0
IL10,IL21 (L),-0.067,0.203525566185584
IL12,IL21 (L),-0.074,0.147798704155309
IL13 (L),IL21 (L),0.972,0
"MCP1 (L, exp2, pg/mL)",INFG,-0.023,0.668215594307319
IL2,INFG,0.89,0
IL4,INFG,0.817,0
IL5,INFG,0.726,0
IL6,INFG,0.468,0
IL8,INFG,-0.158,0.00205133643858403
IL9,INFG,0.232,1.02512839288108e-05
IL10,INFG,0.944,0
IL12,INFG,0.941,0
IL13 (L),INFG,0.069,0.160042426303907
IL21 (L),INFG,0.095,0.0526309045440458
"MCP1 (L, exp2, pg/mL)",TNFA,-0.036,0.525884729880023
IL2,TNFA,0.784,0
IL4,TNFA,0.81,0
IL5,TNFA,0.8,0
IL6,TNFA,0.634,0
IL8,TNFA,-0.057,0.29112152553358
IL9,TNFA,0.119,0.0311674451131537
IL10,TNFA,0.821,0
IL12,TNFA,0.784,0
IL13 (L),TNFA,-0.036,0.487136784564224
IL21 (L),TNFA,-0.027,0.59759845804659
INFG,TNFA,0.786,0
"MCP1 (L, exp2, pg/mL)",MIF (L),0.156,0.00113112571888844
IL2,MIF (L),0.084,0.0856347899265446
IL4,MIF (L),0.052,0.304968266678573
IL5,MIF (L),0.084,0.0910606290893645
IL6,MIF (L),0.007,0.890860421198073
IL8,MIF (L),-0.094,0.0562760532703894
IL9,MIF (L),0.042,0.353819320496214
IL10,MIF (L),0.011,0.837549909364196
IL12,MIF (L),-0.023,0.649198122584887
IL13 (L),MIF (L),0.152,0.000309484828500361
IL21 (L),MIF (L),0.134,0.00143809017732067
INFG,MIF (L),0.074,0.134348162889502
TNFA,MIF (L),0.088,0.0896093059710955
